place_fips,state_fips,central_city,under18_2024,year_source
3651000,36,New York,1659852,ACS 2024 1-yr
3451000,34,Newark,82742,ACS 2024 1-yr
1714000,17,Chicago,505758,ACS 2024 1-yr
0644000,06,Los Angeles,717455,ACS 2024 1-yr
4260000,42,Philadelphia,326963,ACS 2024 1-yr
2622000,26,Detroit,154647,ACS 2024 1-yr
2507000,25,Boston,98717,ACS 2024 1-yr
4261000,42,Pittsburgh,43359,ACS 2024 1-yr
0667000,06,San Francisco,111077,ACS 2024 1-yr
0653000,06,Oakland,78494,ACS 2024 1-yr
4459000,44,Providence,39173,ACS 2024 1-yr
2965000,29,St. Louis,49827,ACS 2024 1-yr
3916000,39,Cleveland,74318,ACS 2024 1-yr
2404000,24,Baltimore,118190,ACS 2024 1-yr
2743000,27,Minneapolis,82240,ACS 2024 1-yr
2758000,27,St. Paul,71843,ACS 2024 1-yr
3611000,36,Buffalo,59508,ACS 2024 1-yr
2537000,25,Lowell,26209,ACS 2024 1-yr
0908000,09,Bridgeport,30915,ACS 2024 1-yr
2509000,25,Brockton,26521,ACS 2024 1-yr
2567000,25,Springfield,39935,ACS 2024 1-yr
2530000,25,Holyoke,8114,ACS 2019-2023 5-yr
3915000,39,Cincinnati,66153,ACS 2024 1-yr
4835000,48,Houston,572985,ACS 2024 1-yr
5553000,55,Milwaukee,139889,ACS 2024 1-yr
2938000,29,Kansas City MO,118940,ACS 2024 1-yr
2036000,20,Kansas City KS,42899,ACS 2024 1-yr
1150000,11,Washington,130018,ACS 2024 1-yr
2255000,22,New Orleans,70790,ACS 2024 1-yr
1304000,13,Atlanta,86070,ACS 2024 1-yr
5363000,53,Seattle,109519,ACS 2024 1-yr
4159000,41,Portland,99207,ACS 2024 1-yr
0107000,01,Birmingham,35690,ACS 2024 1-yr
4819000,48,Dallas,311571,ACS 2024 1-yr
0950000,09,New Britain,15375,ACS 2024 1-yr
0907000,09,Bristol,12014,ACS 2019-2023 5-yr
0972000,09,Waterbury,26933,ACS 2024 1-yr
2148000,21,Louisville,138974,ACS 2024 1-yr
4865000,48,San Antonio,354889,ACS 2024 1-yr
0820000,08,Denver,127668,ACS 2024 1-yr
3989000,39,Youngstown,13416,ACS 2019-2023 5-yr
1836000,18,Indianapolis,217234,ACS 2024 1-yr
0666000,06,San Diego,245434,ACS 2024 1-yr
2581000,25,Worcester,37977,ACS 2024 1-yr
0935000,09,Hartford,25548,ACS 2024 1-yr
0953000,09,New Haven,29002,ACS 2024 1-yr
4748000,47,Memphis,154467,ACS 2024 1-yr
2534000,25,Lawrence,20763,ACS 2024 1-yr
0973000,09,Stamford,28355,ACS 2024 1-yr
0954000,09,Norwalk,17028,ACS 2024 1-yr
3920000,39,Dayton,27544,ACS 2024 1-yr
3918000,39,Columbus,205208,ACS 2024 1-yr
3601000,36,Albany,11318,ACS 2024 1-yr
3667000,36,Schenectady,12368,ACS 2024 1-yr
3675000,36,Troy,8899,ACS 2019-2023 5-yr
3663000,36,Rochester,39838,ACS 2024 1-yr
5156000,51,Norfolk,42216,ACS 2024 1-yr
5157000,51,Portsmouth,46292,ACS 2024 1-yr
2522000,25,Fall River,18956,ACS 2024 1-yr
3900100,39,Akron,39253,ACS 2024 1-yr
